u,y(alpha=0.1),y(alpha=0.2),y(alpha=0.30000000000000004),y(alpha=0.4),y(alpha=0.5),y(alpha=0.6),y(alpha=0.7000000000000001),y(alpha=0.8),y(alpha=0.9),y(alpha=1.0)
-6.000000000000014,-2.0,-2.0,-1.9999999999799982,-1.9999959909607576,-1.999648040956505,-1.9967133615078496,-1.9876096416712223,-1.9701470709246003,-1.9440873200984523,-1.9103499817498255
-5.900000000000015,-2.0,-2.0,-1.9999999999392868,-1.999993750773549,-1.9995509893695549,-1.9961516795603815,-1.9861295377417725,-1.9674647341117306,-1.9401196072022615,-1.9051493647573516
-5.800000000000015,-2.0,-2.0,-1.9999999998219518,-1.9999903451587677,-1.9994290455410781,-1.9955004235466656,-1.9844830852941353,-1.9645528171827076,-1.9358794517581157,-1.8996514398176232
-5.700000000000015,-2.0,-2.0,-1.9999999994952287,-1.99998521493962,-1.9992763537714842,-1.9947464899476293,-1.9826530186208289,-1.9613929508418777,-1.9313490751439293,-1.8938397324374483
-5.600000000000016,-2.0,-2.0,-1.9999999986157282,-1.9999775567112055,-1.999085822168786,-1.9938750679712869,-1.980620474554565,-1.95796544441342,-1.926509639709507,-1.8876969173259197
-5.500000000000016,-2.0,-2.0,-1.9999999963256156,-1.9999662276078798,-1.9988488972646659,-1.9928694532356896,-1.978364871524536,-1.954249208948358,-1.9213411974992787,-1.8812047818907964
-5.400000000000016,-2.0,-2.0,-1.99999999055396,-1.9999496179612999,-1.998555306005449,-1.99171084730934,-1.9758637833576205,-1.9502216782756476,-1.9158226379886902,-1.874344189089801
-5.300000000000017,-2.0,-2.0,-1.9999999764667988,-1.999925483053294,-1.998192762338046,-1.9903781431610388,-1.9730928082468449,-1.9458587283250566,-1.909931635040179,-1.8670950397565544
-5.200000000000017,-2.0,-2.0,-1.9999999431486164,-1.999890723514051,-1.9977466358415361,-1.9888476968399451,-1.9700254334558354,-1.9411345951249146,-1.9036445933245059,-1.85943623454286
-5.100000000000017,-2.0,-2.0,-1.9999998667425838,-1.9998411022202993,-1.9971995802365834,-1.9870930860326999,-1.966632896496053,-1.9360217919622844,-1.8969365944975443,-1.8513456356433635
-5.000000000000018,-2.0,-2.0,-1.999999696755964,-1.9997708839192598,-1.99653112016821,-1.9850848565341854,-1.9628840437047623,-1.9304910262872936,-1.8897813434716362,-1.8428000284955903
-4.900000000000018,-2.0,-2.0,-1.9999993296485177,-1.9996723823930145,-1.9957171954355952,-1.9827902581278805,-1.9587451873673327,-1.9245111170476359,-1.8821511151745751,-1.8337750836779576
-4.8000000000000185,-2.0,-2.0,-1.9999985596107481,-1.999535398980778,-1.9947296628696751,-1.9801729719063408,-1.954179962768615,-1.9180489132539607,-1.8740167022483134,-1.8242453192609194
-4.700000000000019,-2.0,-1.9999999999999987,-1.9999969899037797,-1.9993465359365237,-1.9935357573696315,-1.9771928316765837,-1.9491491868253,-1.9110692147021529,-1.8653473642038687,-1.8141840639019269
-4.600000000000019,-2.0,-1.999999999999985,-1.9999938784847435,-1.9990883687047067,-1.9920975152351499,-1.9738055427919399,-1.9436107202442852,-1.9035346959142814,-1.856110778618549,-1.8035634210135774
-4.5000000000000195,-2.0,-1.9999999999998068,-1.9999878781478104,-1.9987384630734626,-1.9903711649007598,-1.9699624025319218,-1.9375193354702995,-1.8954058345059588,-1.8462729950366548,-1.7923542343762433
-4.40000000000002,-2.0,-1.9999999999978972,-1.9999766136462211,-1.9982682266640666,-1.98830649251238,-1.965610027012461,-1.9308265930273496,-1.8866408453432832,-1.8357983923150223,-1.7805260556117126
-4.30000000000002,-2.0,-1.9999999999804419,-1.999956016476133,-1.9976415896946902,-1.9858461924936455,-1.9606900905439364,-1.9234807292199005,-1.8771956220163988,-1.8246496402399535,-1.7680471139829188
-4.200000000000021,-2.0,-1.999999999843193,-1.9999193135862434,-1.996813517750594,-1.9829252163235256,-1.9551390843522398,-1.9154265585362036,-1.8670236873273356,-1.8127876663317668,-1.7548842890367156
-4.100000000000021,-2.0,-1.9999999989082013,-1.99985554222781,-1.9957283696785124,-1.9794701361575155,-1.9488881026206872,-1.9066053944813817,-1.8560761546651463,-1.8001716288467988,-1.7410030866617041
-4.000000000000021,-2.0,-1.9999999933499724,-1.9997474444551728,-1.994318126872117,-1.9753985436129597,-1.9418626648723607,-1.8969549929530145,-1.8443017023184693,-1.786758897083363,-1.7263676191912753
-3.9000000000000217,-2.0,-1.9999999643166575,-1.999568588464662,-1.992500536139409,-1.9706185079083287,-1.9339825847589514,-1.8864095226459878,-1.8316465629510357,-1.7725050401967586,-1.7109405902428794
-3.800000000000022,-2.0,-1.9999998301692505,-1.9992795787366338,-1.9901772268259355,-1.965028121454282,-1.9251618963088926,-1.8748995673224793,-1.8180545306348175,-1.757363825827563,-1.6946832850478954
-3.7000000000000224,-2.0,-1.9999992783673033,-1.9988232622296866,-1.9872318833923028,-1.9585151647457164,-1.915308849558993,-1.8623521650905843,-1.803466987993077,-1.7412872299453337,-1.677555567091669
-3.6000000000000227,-2.0,-1.9999972451352837,-1.9981189221249762,-1.9835285763111474,-1.9509569257436454,-1.9043259881830519,-1.8486908900816168,-1.7878229561452348,-1.7242254594043875,-1.6595158819497886
-3.500000000000023,-2.0,-1.9999904939446393,-1.997055579129157,-1.9789103755983,-1.9422202115459704,-1.8921103221599416,-1.8338359820790338,-1.7710591702597398,-1.7061269887969068,-1.6405212692736448
-3.4000000000000234,-2.0,-1.9999701773233292,-1.9954846927181604,-1.9731983906438728,-1.9321615916483292,-1.878553608604225,-1.8177045297059538,-1.753110183601562,-1.6869386132683042,-1.620527383944716
-3.300000000000024,-2.0,-1.99991445998584,-1.9932127623483624,-1.9661913948302887,-1.9206279120603273,-1.8635427535187294,-1.8002107126956837,-1.7339085029980557,-1.6666055190270241,-1.5994885274817108
-3.200000000000024,-2.0,-1.999774472392064,-1.9899945527737843,-1.957666200773164,-1.9074571175066044,-1.846960346321004,-1.7812661085212955,-1.7133847586303625,-1.645071373331859,-1.5773576908461706
-3.1000000000000245,-1.9999999999999694,-1.9994506227217728,-1.9855278781338561,-1.9473789485823079,-1.892479414444368,-1.828685337446509,-1.7607800682161612,-1.6914679109759656,-1.6222784357698963,-1.5540866098487545
-3.000000000000025,-1.9999999999867102,-1.9987574422473484,-1.9794510356129131,-1.9350674519069027,-1.875518800253067,-1.8085938670522075,-1.7386601655482314,-1.6680854975698645,-1.5981676926425488,-1.5296258344081775
